SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
KIRLOSBROS, EQ, 17-May-2018, 284.05, 284.90, 288.70, 278.25, 278.30, 280.90, 283.97, 22319, 63.38, 706, 13468, 60.34
KIRLOSENG, EQ, 17-May-2018, 313.75, 314.75, 320.00, 310.00, 310.00, 310.25, 313.00, 8245, 25.81, 294, 4577, 55.51
KIRLOSIND, EQ, 17-May-2018, 1274.70, 1247.60, 1285.00, 1247.60, 1255.10, 1255.10, 1258.27, 186, 2.34, 55, 157, 84.41
KITEX, EQ, 17-May-2018, 222.65, 226.00, 227.35, 223.00, 225.00, 225.20, 224.90, 30430, 68.44, 629, 21546, 70.81
KKCL, EQ, 17-May-2018, 1540.00, 1566.95, 1566.95, 1540.05, 1555.00, 1550.85, 1559.94, 441, 6.88, 23, 221, 50.11
KMSUGAR, EQ, 17-May-2018, 9.15, 9.05, 9.60, 9.05, 9.20, 9.20, 9.30, 243975, 22.70, 526, 120317, 49.32
KNRCON, EQ, 17-May-2018, 303.95, 304.10, 305.10, 301.70, 301.80, 302.90, 302.90, 57997, 175.67, 2824, 40112, 69.16
KOHINOOR, EQ, 17-May-2018, 58.10, 58.15, 59.85, 57.60, 58.70, 58.25, 58.48, 57122, 33.40, 600, 32040, 56.09
KOKUYOCMLN, EQ, 17-May-2018, 106.35, 106.40, 108.00, 105.15, 107.00, 106.65, 106.46, 21001, 22.36, 322, 9190, 43.76
KOLTEPATIL, EQ, 17-May-2018, 305.75, 305.75, 308.65, 302.00, 302.25, 302.85, 304.42, 52622, 160.19, 1078, 31199, 59.29
KOPRAN, EQ, 17-May-2018, 63.10, 63.65, 64.50, 62.20, 63.25, 63.40, 63.38, 49922, 31.64, 1295, 18640, 37.34
KOTAKBANK, EQ, 17-May-2018, 1281.40, 1285.00, 1296.00, 1265.00, 1265.60, 1270.70, 1278.97, 2201571, 28157.34, 110784, 1479272, 67.19
KOTAKBKETF, EQ, 17-May-2018, 267.25, 267.57, 267.57, 265.43, 265.51, 265.93, 265.94, 10242, 27.24, 41, 10120, 98.81
KOTAKGOLD, EQ, 17-May-2018, 274.00, 272.10, 275.80, 271.80, 271.80, 272.20, 272.60, 5053, 13.77, 183, 3285, 65.01
KOTAKNIFTY, EQ, 17-May-2018, 108.95, 109.38, 109.38, 108.06, 108.35, 108.54, 108.64, 42992, 46.71, 170, 8091, 18.82
KOTAKNV20, EQ, 17-May-2018, 50.05, 50.00, 51.55, 49.60, 49.60, 49.60, 50.36, 244, 0.12, 11, 133, 54.51
KOTAKPSUBK, EQ, 17-May-2018, 273.87, 279.30, 280.00, 273.51, 274.00, 274.18, 275.56, 2779, 7.66, 78, 1886, 67.87
KOTARISUG, EQ, 17-May-2018, 10.35, 10.55, 11.00, 10.40, 10.85, 10.80, 10.81, 25641, 2.77, 75, 16223, 63.27
KOTHARIPET, EQ, 17-May-2018, 28.95, 29.45, 31.40, 29.15, 29.50, 29.55, 30.16, 79715, 24.04, 349, 25310, 31.75
KOTHARIPRO, EQ, 17-May-2018, 144.05, 143.05, 153.10, 142.25, 146.95, 146.05, 145.82, 3057, 4.46, 226, 1047, 34.25
KPIT, EQ, 17-May-2018, 260.85, 263.00, 263.20, 259.10, 262.30, 261.70, 261.28, 709315, 1853.27, 17182, 248649, 35.05
KPRMILL, EQ, 17-May-2018, 644.20, 644.00, 656.20, 632.35, 632.60, 635.30, 640.67, 24120, 154.53, 896, 18603, 77.13
KRBL, EQ, 17-May-2018, 483.15, 484.85, 494.35, 466.05, 468.75, 468.70, 479.30, 92834, 444.95, 4950, 38064, 41.00
KREBSBIO, BE, 17-May-2018, 167.25, 167.25, 167.25, 160.50, 165.00, 165.00, 164.91, 5579, 9.20, 20, -, -
KRIDHANINF, EQ, 17-May-2018, 100.80, 101.30, 102.00, 100.60, 101.00, 101.10, 101.30, 80839, 81.89, 1033, 47784, 59.11
KSBPUMPS, EQ, 17-May-2018, 807.55, 807.90, 829.95, 807.00, 809.10, 814.35, 818.18, 5560, 45.49, 364, 3402, 61.19
KSCL, EQ, 17-May-2018, 508.45, 508.30, 512.25, 504.20, 506.60, 506.20, 507.56, 80700, 409.60, 4344, 17280, 21.41
KSERASERA, BE, 17-May-2018, 0.20, 0.25, 0.25, 0.20, 0.20, 0.20, 0.22, 597928, 1.30, 109, -, -
KSK, EQ, 17-May-2018, 5.25, 5.00, 5.00, 5.00, 5.00, 5.00, 5.00, 94745, 4.74, 127, 94745, 100.00
KSL, EQ, 17-May-2018, 299.25, 306.90, 307.00, 300.05, 303.00, 301.35, 302.34, 43246, 130.75, 1224, 13490, 31.19
KTIL, EQ, 17-May-2018, 115.30, 110.50, 124.70, 110.50, 113.00, 113.00, 114.38, 1314, 1.50, 117, 867, 65.98
KTKBANK, EQ, 17-May-2018, 116.80, 116.45, 119.00, 114.20, 118.45, 118.10, 116.71, 5413036, 6317.53, 25519, 946451, 17.48
KWALITY, EQ, 17-May-2018, 48.25, 48.50, 48.90, 46.75, 47.70, 47.30, 47.78, 1662798, 794.57, 6112, 1069970, 64.35
L&TFH, EQ, 17-May-2018, 174.00, 174.10, 179.65, 172.50, 177.30, 177.85, 175.97, 3338020, 5873.84, 21537, 1146867, 34.36
L&TFINANCE, N4, 17-May-2018, 1048.50, 1059.80, 1060.50, 1048.10, 1060.50, 1059.76, 1058.15, 547, 5.79, 11, 527, 96.34
L&TINFRA, N1, 17-May-2018, 1036.00, 982.24, 992.25, 982.24, 992.25, 992.25, 987.25, 20, 0.20, 2, 20, 100.00
L&TINFRA, N2, 17-May-2018, 1705.82, 1700.00, 1700.00, 1700.00, 1700.00, 1700.00, 1700.00, 10, 0.17, 1, 10, 100.00
L&TINFRA, N3, 17-May-2018, 998.50, 982.11, 983.18, 982.11, 983.18, 983.18, 982.65, 40, 0.39, 2, 40, 100.00
L&TINFRA, N4, 17-May-2018, 1663.00, 1663.00, 1670.05, 1661.00, 1670.00, 1670.00, 1669.59, 526, 8.78, 9, 326, 61.98
L&TINFRA, N5, 17-May-2018, 990.07, 985.00, 990.09, 985.00, 990.09, 990.09, 987.03, 60, 0.59, 3, 60, 100.00
L&TINFRA, N6, 17-May-2018, 1739.50, 1731.00, 1739.90, 1731.00, 1731.90, 1731.90, 1734.60, 275, 4.77, 15, 202, 73.45
LAKPRE, EQ, 17-May-2018, 27.75, 27.00, 28.90, 26.00, 26.60, 26.90, 27.69, 7644, 2.12, 59, 3727, 48.76
LAKSHMIEFL, EQ, 17-May-2018, 14.15, 14.10, 14.45, 13.85, 13.95, 14.10, 14.16, 86730, 12.28, 289, 53316, 61.47
LAKSHVILAS, EQ, 17-May-2018, 95.10, 94.50, 95.05, 94.00, 94.45, 94.50, 94.33, 243678, 229.87, 1150, 89745, 36.83
LALPATHLAB, EQ, 17-May-2018, 889.70, 889.00, 889.00, 857.55, 865.00, 866.40, 879.24, 156978, 1380.22, 5958, 124299, 79.18
LAMBODHARA, EQ, 17-May-2018, 68.50, 70.50, 71.25, 65.45, 67.30, 67.70, 68.54, 15410, 10.56, 203, 9197, 59.68
LAOPALA, EQ, 17-May-2018, 273.95, 274.35, 281.00, 272.00, 280.85, 279.80, 277.89, 14066, 39.09, 799, 11553, 82.13
LASA, EQ, 17-May-2018, 80.95, 83.00, 83.00, 77.55, 77.65, 78.25, 78.90, 37388, 29.50, 397, 29337, 78.47
